Rank,ASIN,Title,Price_EUR,ListPrice_EUR,Rating,Reviews,Availability,BSR,Seller,Brand,SoldByAmazon,URL
11,B0BSXDVQG7,"BRITA Cartucho Filtrante de Agua MAXTRA PRO Pure Performance (All-in-1) Pack 6 | Recambio original para todas las jarras BRITA para agua de sabor puro - filtra PFAS, cloro, cal y metales","28,52",,4.7,17535,En stock,n.º 11 en Hogar y cocina,Amazon,BRITA,Sí,https://www.amazon.es/dp/B0BSXDVQG7
12,B0GGN7Z8VX,"TrendPlain Pulverizador Aceite Spray 470ml - 2 en 1 Spray Aceite Cocina, Dispensadora para Freidora de Aire, Ensaladas, Vinagre y Accesorios Cocina (1 unidad, Negro-1)","9,49","9,99",4.6,27723,En stock,n.º 12 en Hogar y cocina,TrendPlain,TrendPlain,No,https://www.amazon.es/dp/B0GGN7Z8VX
13,B08PKWD87W,"Cecotec Batidora de mano Power TitanBlack 1500 XL PerfectCream&Crush. 1500 W, Tecnología CrossBlades con Cuchillas de 4 hojas, Pie XL, Incluye Picadora, Varillas batidoras y Pasapurés","44,99",,4.2,1614,En stock,n.º 13 en Hogar y cocina,Amazon,Cecotec,Sí,https://www.amazon.es/dp/B08PKWD87W
14,B01M66MBWZ,"Amazon Basics Perchas de Terciopelo para Trajes - Paquete de 50, Marfil","17,99",,4.7,219008,En stock,n.º 14 en Hogar y cocina,Amazon,Amazon Basics,Sí,https://www.amazon.es/dp/B01M66MBWZ
15,B0BY93HZHR,"Rowenta Pure Pop, Plancha de Vapor 1300 W para Viaje, Verde | Vapor continuo 20 g/min, Plancha y Purifica, Elimina pelusas, Cabezales reversibles, Elimina hasta el 99,99% de virus, DR2024","31,99","34,99",4.3,5485,En stock,n.º 15 en Hogar y cocina,Amazon,Rowenta,Sí,https://www.amazon.es/dp/B0BY93HZHR
16,B0C7SBTGYZ,"PORTENTUM Papel freidora aire 100 unidades de 20-24 cm Cuadrado. Para Air Fryer, Grado alimenticio con triple certificación BPA free, FDA y LFGB","6,79",,4.5,22515,En stock,n.º 16 en Hogar y cocina,Amazon,PORTENTUM,Sí,https://www.amazon.es/dp/B0C7SBTGYZ
17,B07PDHNRND,"Protector de Colchón Impermeable Viscosa 90 x 190 x 30 cm Ajustable | Protector de Colchón Impermeable con Elástico en Todo el Contorno, Calidad Hotelera, Certificado Oeko-Tex – Utopia Bedding","15,99",,4.6,57944,En stock,n.º 17 en Hogar y cocina,Utopia Brands,Utopia Bedding,No,https://www.amazon.es/dp/B07PDHNRND
18,B09X5GL8SL,"Todocama – Juego de 2 Fundas de Almohada, Microfibra Extra Suave, hipoalergénicas. Juego de 2-90x40 cm Blanco","10,99",,4.3,6339,En stock,n.º 18 en Hogar y cocina,Amazon,Todocama,Sí,https://www.amazon.es/dp/B09X5GL8SL
19,B0C9JJZ5RD,"Degrees Home Premium – Juego de Sábanas 135x190 cm 3 Piezas: Sábana Bajera Ajustable, Encimera y Funda de Almohada 135X45 – Microfibra Cepillada, Suave, Oeko-Tex Certificado","17,93",,4.2,2147,En stock,n.º 19 en Hogar y cocina,Amazon,Degrees home,Sí,https://www.amazon.es/dp/B0C9JJZ5RD
20,B01N9XBDTI,"Philips Tostadora de pan 2 Ranuras, 8 Ajustes, Calientabollos, Negro | Rejilla calientabollos, 2 ranuras, 8 ajustes, descongelación, elevación alta, apagado auto (HD2581/90)","21,99","31,99",4.5,61454,En stock,n.º 20 en Hogar y cocina,Amazon,PHILIPS,Sí,https://www.amazon.es/dp/B01N9XBDTI
21,B0D1KCLVPX,"VACTechPro Aspiradora sin Cable,35kPa Escoba aspiradora sin Cable | 6 en 1 Inalámbrica con 35minutos de autonomía y batería extraíble,Ideal para Pelo de Mascota/Alfombra/Suelo Duro","94,99","159,00",4.4,5781,En stock,n.º 21 en Hogar y cocina,HUIZHENG TECO,VACTechPro,No,https://www.amazon.es/dp/B0D1KCLVPX
22,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas | Cuchillos de cocina peladores de acero inoxidable para frutas y verduras con mango de polipropileno. Serie Nova. Multicolor.,"8,95",,4.8,6774,En stock,n.º 22 en Hogar y cocina,—,Arcos,No,https://www.amazon.es/dp/B0812BKN39
23,B0BWNC18MM,Funda de Almohada 40x70 Algodón Reforzado (Pack de 2) - Blanco - Tela Apretada de 57 Hilos/cm² - Funda Almohada 40 x 70 - Certificación Oeko Tex - Dreamzie,"8,49",,4.3,12618,En stock,n.º 23 en Hogar y cocina,BMS España,Dreamzie,No,https://www.amazon.es/dp/B0BWNC18MM
24,B00GKBQKP2,"APLI Kids 12146 - Barra de Pegamento Blanca 21 g | Libre de Solventes, Secado Instantáneo y Pegado Limpio.","0,88",,4.6,1752,En stock,n.º 24 en Hogar y cocina,Amazon,APLI,Sí,https://www.amazon.es/dp/B00GKBQKP2
25,B0B57J6FFY,"Cecotec Colchón Viscoelástico Flow PureVital 1900 Medida 90x190. Multicapa, Altura 21cm, Firmeza Alta, Núcleo FoamVital, Doble Cara Dual System para Invierno y Verano",,,4.2,13894,Agotado temporalmente,n.º 25 en Hogar y cocina,—,Cecotec,No,https://www.amazon.es/dp/B0B57J6FFY
26,B07ZHF4FVK,"Funda Protector de Colchón Impermeable 90 x 190 x 30 cm Cremallera | Protector de Colchón Antiácaros y Antichinches, Certificado Oeko-Tex, con Cierre de Cremallera – Utopia Bedding","17,99",,4.4,26321,En stock,n.º 26 en Hogar y cocina,Utopia Brands,Utopia Bedding,No,https://www.amazon.es/dp/B07ZHF4FVK
27,B0DH566SV6,Protector Colchón 60x120 cm Funda Colchón Impermeable de Algodón Sábana Impermeable Protectora para Cuna Cubre Colchón Transpirable Cover Hipoalergénico Antiácaros Antibact. Lavable a Máquina,"9,49",,4.4,19028,En stock,n.º 27 en Hogar y cocina,Flowen ES,Flowen,No,https://www.amazon.es/dp/B0DH566SV6
28,B07YG63BQJ,"BRITA ON TAP V-MF filtro agua de recambio para sistemas ON TAP y ON TAP PRO | 1x cartucho de recambio original (600L) reduce 99,999% de bacterias, PFAS, cloro, micropartículas y metales","18,17","26,95",4.6,7884,En stock,n.º 28 en Hogar y cocina,Amazon,BRITA,Sí,https://www.amazon.es/dp/B07YG63BQJ
29,B07P1328L3,Todocama Almohada viscoelástica Aloe Vera (Pack de 2 Unidades - 70 cm),"42,90",,4.5,4614,En stock,n.º 29 en Hogar y cocina,Amazon,Todocama,Sí,https://www.amazon.es/dp/B07P1328L3
30,B0C7CVYDYN,"BRITA ON TAP V filtro agua de recambio para sistemas ON TAP y ON TAP PRO | 1x cartucho de recambio original (600L) reduce PFAS, cloro, partículas finas, metales y más sustancias que afectan el sabor","10,84","15,95",4.7,2334,En stock,n.º 30 en Hogar y cocina,Amazon,BRITA,Sí,https://www.amazon.es/dp/B0C7CVYDYN
